Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
132,0|1|2|3|4|5|,3043|1051|452|161|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3043|1051|452|161|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3043|1051|452|161|64|,0|0|0|0|0|0|,13580|2986|1027|444|159|64|,0|0|0|0|0|0|,6046|1381|467|211|70|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6046|1381|467|211|70|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5837|1327|436|202|66|27|,2853|65|16|12|3|24|,0|0|0|0|0|0|
133,0|1|2|3|4|5|,2984|1262|420|190|63|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2984|1262|420|190|63|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2984|1262|420|190|66|,0|0|0|0|0|0|,15860|2916|1234|413|186|64|,0|0|0|0|0|0|,6661|1234|512|172|89|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,6661|1234|512|172|89|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,6131|1129|468|155|85|32|,3120|60|24|8|6|27|,0|0|0|0|0|0|
134,0|1|2|3|4|5|,3011|1069|444|147|79|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3011|1069|444|147|79|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3011|1069|444|147|84|,0|0|0|0|0|0|,14120|2942|1043|435|142|83|,0|0|0|0|0|0|,6466|1400|457|190|69|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,6466|1400|457|190|69|41|,0|0|0|0|0|0|,0|0|0|0|0|0|,5996|1296|416|175|63|40|,2987|51|20|9|3|37|,0|0|0|0|0|0|
135,0|1|2|3|4|5|,3009|1245|396|166|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3009|1245|396|166|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3009|1245|396|166|63|,0|0|0|0|0|0|,15830|2946|1218|384|163|62|,0|0|0|0|0|0|,6889|1262|541|168|74|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6889|1262|541|168|74|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6156|1116|484|152|65|27|,3145|68|21|4|6|21|,0|0|0|0|0|0|
136,0|1|2|3|4|5|,3011|1048|463|148|59|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3011|1048|463|148|59|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3011|1048|463|148|65|,0|0|0|0|0|0|,13740|2947|1027|455|146|63|,0|0|0|0|0|0|,6485|1408|474|225|79|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6485|1408|474|225|79|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5957|1303|433|206|72|29|,3055|54|24|16|1|26|,0|0|0|0|0|0|
137,0|1|2|3|4|5|,2902|1249|409|190|71|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2902|1249|409|190|71|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2902|1249|409|190|74|,0|0|0|0|0|0|,16530|2847|1230|403|187|74|,0|0|0|0|0|0|,7007|1147|489|170|88|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,7007|1147|489|170|88|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6281|1030|431|151|82|25|,3190|67|21|8|4|23|,0|0|0|0|0|0|
138,0|1|2|3|4|5|,3091|963|410|143|78|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3091|963|410|143|78|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3091|963|410|143|80|,0|0|0|0|0|0|,13960|3045|953|403|142|78|,0|0|0|0|0|0|,6638|1504|448|200|68|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6638|1504|448|200|68|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5974|1352|397|178|67|32|,3048|67|21|11|4|24|,0|0|0|0|0|0|
139,0|1|2|3|4|5|,2926|1285|376|167|63|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2926|1285|376|167|63|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2926|1285|376|167|71|,0|0|0|0|0|0|,16390|2867|1262|367|166|71|,0|0|0|0|0|0|,6635|1254|483|138|59|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6635|1254|483|138|59|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6172|1154|447|129|55|31|,3094|55|24|5|4|24|,0|0|0|0|0|0|
140,0|1|2|3|4|5|,3078|1099|423|124|51|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3078|1099|423|124|51|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3078|1099|423|124|58|,0|0|0|0|0|0|,14690|3036|1084|415|124|58|,0|0|0|0|0|0|,6476|1302|502|179|54|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6476|1302|502|179|54|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,6075|1222|464|171|45|23|,3026|52|30|9|3|21|,0|0|0|0|0|0|
141,0|1|2|3|4|5|,3049|1170|434|162|42|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3049|1170|434|162|42|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3049|1170|434|162|44|,0|0|0|0|0|0|,15500|2988|1151|429|160|43|,0|0|0|0|0|0|,6584|1283|489|192|73|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6584|1283|489|192|73|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6095|1178|451|186|66|17|,3067|50|17|11|3|16|,0|0|0|0|0|0|
142,0|1|2|3|4|5|,3028|1128|434|175|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3028|1128|434|175|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3028|1128|434|175|64|,0|0|0|0|0|0|,15220|2993|1109|429|171|63|,0|0|0|0|0|0|,6933|1317|521|192|71|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6933|1317|521|192|71|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6133|1163|456|165|61|22|,3097|56|19|8|4|18|,0|0|0|0|0|0|
143,0|1|2|3|4|5|,3036|1107|437|157|57|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3036|1107|437|157|57|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3036|1107|437|157|61|,0|0|0|0|0|0|,14370|2972|1088|432|156|61|,0|0|0|0|0|0|,6509|1384|505|198|67|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6509|1384|505|198|67|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5991|1262|474|182|64|27|,3024|47|24|12|4|24|,0|0|0|0|0|0|
144,0|1|2|3|4|5|,2967|1215|450|170|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2967|1215|450|170|60|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2967|1215|450|170|63|,0|0|0|0|0|0|,15400|2928|1201|445|168|63|,0|0|0|0|0|0|,6569|1332|521|196|67|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6569|1332|521|196|67|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6030|1214|486|184|60|26|,3061|72|25|9|1|20|,0|0|0|0|0|0|
145,0|1|2|3|4|5|,2969|1142|461|175|59|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2969|1142|461|175|59|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2969|1142|461|175|65|,0|0|0|0|0|0|,16210|2922|1126|457|172|62|,0|0|0|0|0|0|,6833|1272|500|190|66|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6833|1272|500|190|66|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6150|1157|449|169|56|19|,3048|68|18|11|5|18|,0|0|0|0|0|0|
146,0|1|2|3|4|5|,3102|1089|431|158|51|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3102|1089|431|158|51|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3102|1089|431|158|52|,0|0|0|0|0|0|,14680|3064|1073|425|157|51|,0|0|0|0|0|0|,6649|1412|471|177|73|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6649|1412|471|177|73|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6045|1273|429|163|70|20|,2970|69|22|8|1|17|,0|0|0|0|0|0|
147,0|1|2|3|4|5|,3075|1204|407|155|69|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3075|1204|407|155|69|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3075|1204|407|155|72|,0|0|0|0|0|0|,15910|3024|1192|405|152|72|,0|0|0|0|0|0|,6756|1287|523|156|69|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6756|1287|523|156|69|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6133|1179|464|137|64|23|,3058|65|26|11|1|22|,0|0|0|0|0|0|
148,0|1|2|3|4|5|,3075|1114|438|126|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3075|1114|438|126|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3075|1114|438|126|64|,0|0|0|0|0|0|,13960|3027|1097|433|125|64|,0|0|0|0|0|0|,6294|1446|474|203|61|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6294|1446|474|203|61|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5894|1358|440|190|55|35|,2913|65|18|8|3|32|,0|0|0|0|0|0|
149,0|1|2|3|4|5|,2981|1293|422|182|52|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2981|1293|422|182|52|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2981|1293|422|182|55|,0|0|0|0|0|0|,16950|2934|1281|417|181|55|,0|0|0|0|0|0|,7142|1228|530|165|67|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,7142|1228|530|165|67|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,6267|1065|449|147|56|16|,3126|38|23|5|3|15|,0|0|0|0|0|0|
150,0|1|2|3|4|5|,3141|1027|426|142|53|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3141|1027|426|142|53|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|
