Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
29,0|1|2|3|4|5|,0|0|0|0|0|112|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|112|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|112|,0|0|0|0|0|0|,0|0|0|0|0|110|,0|0|0|0|0|0|,0|0|0|0|0|110|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|110|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|110|,0|0|0|0|0|13|,0|0|0|0|0|0|
30,0|1|2|3|4|5|,0|0|0|0|0|97|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|97|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|97|,0|0|0|0|0|0|,0|0|0|0|0|97|,0|0|0|0|0|0|,0|0|0|0|0|97|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|97|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|97|,0|0|0|0|0|13|,0|0|0|0|0|0|
31,0|1|2|3|4|5|,0|0|0|0|0|84|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|84|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|84|,0|0|0|0|0|0|,0|0|0|0|0|82|,0|0|0|0|0|0|,0|0|0|0|0|82|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|82|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|82|,0|0|0|0|0|9|,0|0|0|0|0|0|
32,0|1|2|3|4|5|,0|0|0|0|0|73|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|73|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|73|,0|0|0|0|0|0|,0|0|0|0|0|73|,0|0|0|0|0|0|,0|0|0|0|0|73|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|73|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|73|,0|0|0|0|0|5|,0|0|0|0|0|0|
33,0|1|2|3|4|5|,0|0|0|0|0|68|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|68|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|68|,0|0|0|0|0|0|,0|0|0|0|0|68|,0|0|0|0|0|0|,0|0|0|0|0|68|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|68|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|68|,0|0|0|0|0|8|,0|0|0|0|0|0|
34,0|1|2|3|4|5|,0|0|0|0|0|60|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|60|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|60|,0|0|0|0|0|0|,0|0|0|0|0|60|,0|0|0|0|0|0|,0|0|0|0|0|60|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|60|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|60|,0|0|0|0|0|14|,0|0|0|0|0|0|
35,0|1|2|3|4|5|,0|0|0|0|0|46|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|46|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|46|,0|0|0|0|0|0|,0|0|0|0|0|46|,0|0|0|0|0|0|,0|0|0|0|0|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|46|,0|0|0|0|0|10|,0|0|0|0|0|0|
36,0|1|2|3|4|5|,0|0|0|0|0|36|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|36|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|36|,0|0|0|0|0|0|,0|0|0|0|0|35|,0|0|0|0|0|0|,0|0|0|0|0|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|35|,0|0|0|0|0|4|,0|0|0|0|0|0|
37,0|1|2|3|4|5|,0|0|0|0|0|31|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|31|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|31|,0|0|0|0|0|0|,0|0|0|0|0|31|,0|0|0|0|0|0|,0|0|0|0|0|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|31|,0|0|0|0|0|3|,0|0|0|0|0|0|
38,0|1|2|3|4|5|,0|0|0|0|0|28|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|28|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|28|,0|0|0|0|0|0|,0|0|0|0|0|28|,0|0|0|0|0|0|,0|0|0|0|0|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|28|,0|0|0|0|0|2|,0|0|0|0|0|0|
39,0|1|2|3|4|5|,0|0|0|0|0|26|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|26|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|26|,0|0|0|0|0|0|,0|0|0|0|0|26|,0|0|0|0|0|0|,0|0|0|0|0|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|26|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|26|,0|0|0|0|0|1|,0|0|0|0|0|0|
40,0|1|2|3|4|5|,0|0|0|0|0|25|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|25|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|25|,0|0|0|0|0|0|,0|0|0|0|0|25|,0|0|0|0|0|0|,0|0|0|0|0|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|25|,0|0|0|0|0|2|,0|0|0|0|0|0|
41,0|1|2|3|4|5|,0|0|0|0|0|23|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|23|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|23|,0|0|0|0|0|0|,0|0|0|0|0|23|,0|0|0|0|0|0|,0|0|0|0|0|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|23|,0|0|0|0|0|3|,0|0|0|0|0|0|
42,0|1|2|3|4|5|,0|0|0|0|0|20|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|20|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|20|,0|0|0|0|0|0|,0|0|0|0|0|20|,0|0|0|0|0|0|,0|0|0|0|0|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|20|,0|0|0|0|0|5|,0|0|0|0|0|0|
43,0|1|2|3|4|5|,0|0|0|0|0|15|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|15|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|0|
44,0|1|2|3|4|5|,0|0|0|0|0|15|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|15|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|15|,0|0|0|0|0|3|,0|0|0|0|0|0|
45,0|1|2|3|4|5|,0|0|0|0|0|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|12|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|12|,0|0|0|0|0|0|,0|0|0|0|0|12|,0|0|0|0|0|0|,0|0|0|0|0|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|12|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|12|,0|0|0|0|0|3|,0|0|0|0|0|0|
46,0|1|2|3|4|5|,0|0|0|0|0|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|9|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|9|,0|0|0|0|0|0|,0|0|0|0|0|9|,0|0|0|0|0|0|,0|0|0|0|0|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|9|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|9|,0|0|0|0|0|1|,0|0|0|0|0|0|
47,0|1|2|3|4|5|,0|0|0|0|0|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|8|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|8|,0|0|0|0|0|0|,0|0|0|0|0|8|,0|0|0|0|0|0|,0|0|0|0|0|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|8|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|8|,0|0|0|0|0|1|,0|0|0|0|0|0|
48,0|1|2|3|4|5|,0|0|0|0|0|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|7|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|7|,0|0|0|0|0|0|,0|0|0|0|0|7|,0|0|0|0|0|0|,0|0|0|0|0|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|7|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|7|,0|0|0|0|0|1|,0|0|0|0|0|0|
49,0|1|2|3|4|5|,0|0|0|0|0|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|0|0|0|0|6|,0|0|0|0|0|0|,0|0|0|0|0|6|,0|0|0|0|0|0|,0|0|0|0|0|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|6|,0|0|0|0|0|0|,0|0|0|0|0|0|,0|0|0|0|0|6|,0|0|0|0|0|0|,0|0|0|0|0|0|
50,0|1|2|3|4|5|,0|0|0|0|0|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,0|0|0|0|0|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|
