Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
137,0|1|2|3|4|5|,3008|1218|421|156|77|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3008|1218|421|156|77|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3008|1218|421|156|78|,0|0|0|0|0|0|,15240|2967|1199|419|154|77|,0|0|0|0|0|0|,6629|1328|556|188|69|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,6629|1328|556|188|69|46|,0|0|0|0|0|0|,0|0|0|0|0|0|,6018|1205|503|168|65|41|,3062|60|29|11|2|39|,0|0|0|0|0|0|
138,0|1|2|3|4|5|,2956|1145|474|157|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2956|1145|474|157|63|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2956|1145|474|157|65|,0|0|0|0|0|0|,14750|2918|1129|471|154|65|,0|0|0|0|0|0|,6600|1377|493|228|74|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,6600|1377|493|228|74|34|,0|0|0|0|0|0|,0|0|0|0|0|0|,5998|1249|446|209|65|33|,3000|62|19|19|1|29|,0|0|0|0|0|0|
139,0|1|2|3|4|5|,2998|1187|427|190|64|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2998|1187|427|190|64|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2998|1187|427|190|68|,0|0|0|0|0|0|,16000|2957|1171|423|187|66|,0|0|0|0|0|0|,6669|1320|498|186|83|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6669|1320|498|186|83|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6070|1199|459|173|81|18|,3088|63|16|13|3|18|,0|0|0|0|0|0|
140,0|1|2|3|4|5|,2982|1136|443|160|78|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2982|1136|443|160|78|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2982|1136|443|160|78|,0|0|0|0|0|0|,14930|2936|1129|441|160|76|,0|0|0|0|0|0|,6660|1312|499|212|93|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6660|1312|499|212|93|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6034|1184|455|192|90|34|,2995|67|24|7|5|32|,0|0|0|0|0|0|
141,0|1|2|3|4|5|,3039|1117|431|185|85|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3039|1117|431|185|85|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3039|1117|431|185|87|,0|0|0|0|0|0|,13870|2997|1106|430|184|85|,0|0|0|0|0|0|,6332|1411|533|193|92|42|,0|0|0|0|0|0|,0|0|0|0|0|0|,6332|1411|533|193|92|42|,0|0|0|0|0|0|,0|0|0|0|0|0|,5870|1320|490|179|82|39|,2967|54|16|11|2|38|,0|0|0|0|0|0|
142,0|1|2|3|4|5|,2903|1266|474|168|80|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2903|1266|474|168|80|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2903|1266|474|168|81|,0|0|0|0|0|0|,16690|2866|1259|469|167|80|,0|0|0|0|0|0|,6924|1176|548|198|75|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6924|1176|548|198|75|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6181|1053|503|173|63|27|,3200|50|26|5|2|27|,0|0|0|0|0|0|
143,0|1|2|3|4|5|,2981|1003|477|168|61|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2981|1003|477|168|61|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2981|1003|477|168|61|,0|0|0|0|0|0|,13850|2955|992|475|167|61|,0|0|0|0|0|0|,6733|1458|481|220|81|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6733|1458|481|220|81|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,5977|1290|437|195|74|27|,2963|43|20|7|1|23|,0|0|0|0|0|0|
144,0|1|2|3|4|5|,3014|1247|417|188|73|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3014|1247|417|188|73|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3014|1247|417|188|77|,0|0|0|0|0|0|,14580|2980|1241|416|187|77|,0|0|0|0|0|0|,6325|1350|551|198|86|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6325|1350|551|198|86|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,5931|1250|516|178|80|32|,3067|60|15|8|3|28|,0|0|0|0|0|0|
145,0|1|2|3|4|5|,2864|1190|501|170|77|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2864|1190|501|170|77|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2864|1190|501|170|81|,0|0|0|0|0|0|,16000|2836|1174|494|167|81|,0|0|0|0|0|0|,6895|1220|479|225|70|39|,0|0|0|0|0|0|,0|0|0|0|0|0|,6895|1220|479|225|70|39|,0|0|0|0|0|0|,0|0|0|0|0|0|,6161|1111|430|196|60|37|,3116|59|26|5|5|36|,0|0|0|0|0|0|
146,0|1|2|3|4|5|,3045|1052|404|191|55|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3045|1052|404|191|55|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3045|1052|404|191|56|,0|0|0|0|0|0|,14940|3005|1037|399|189|55|,0|0|0|0|0|0|,6510|1335|494|180|77|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6510|1335|494|180|77|30|,0|0|0|0|0|0|,0|0|0|0|0|0|,6037|1239|459|165|70|30|,2966|55|23|10|3|24|,0|0|0|0|0|0|
147,0|1|2|3|4|5|,3071|1184|436|155|67|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3071|1184|436|155|67|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3071|1184|436|155|73|,0|0|0|0|0|0|,15680|3047|1165|432|152|73|,0|0|0|0|0|0|,6809|1354|524|175|71|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6809|1354|524|175|71|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6060|1216|479|153|63|29|,3004|51|27|12|6|27|,0|0|0|0|0|0|
