Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
106,0|1|2|3|4|5|,3083|1069|454|159|69|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3083|1069|454|159|69|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3083|1069|454|159|70|,0|0|0|0|0|0|,14590|3020|1051|440|156|70|,0|0|0|0|0|0|,6413|1393|472|178|67|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6413|1393|472|178|67|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5962|1297|441|161|64|35|,3019|56|24|14|3|31|,0|0|0|0|0|0|
107,0|1|2|3|4|5|,2943|1241|417|147|61|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2943|1241|417|147|61|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2943|1241|417|147|65|,0|0|0|0|0|0|,16310|2891|1214|406|146|64|,0|0|0|0|0|0|,6970|1194|520|164|78|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6970|1194|520|164|78|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6198|1081|468|155|68|22|,3142|56|16|11|3|20|,0|0|0|0|0|0|
108,0|1|2|3|4|5|,3056|1025|452|144|65|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3056|1025|452|144|65|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3056|1025|452|144|67|,0|0|0|0|0|0|,13330|3005|1006|445|141|65|,0|0|0|0|0|0|,6423|1468|512|216|71|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,6423|1468|512|216|71|37|,0|0|0|0|0|0|,0|0|0|0|0|0|,5896|1339|473|196|62|34|,2955|78|14|9|1|32|,0|0|0|0|0|0|
109,0|1|2|3|4|5|,2941|1261|459|187|61|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2941|1261|459|187|61|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2941|1261|459|187|63|,0|0|0|0|0|0|,17360|2897|1239|454|180|62|,0|0|0|0|0|0|,6954|1127|510|195|69|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6954|1127|510|195|69|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6250|1027|466|175|61|19|,3071|52|21|3|4|16|,0|0|0|0|0|0|
110,0|1|2|3|4|5|,3179|975|445|172|57|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3179|975|445|172|57|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3179|975|445|172|60|,0|0|0|0|0|0|,13520|3126|963|440|171|60|,0|0|0|0|0|0|,6360|1468|483|210|75|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,6360|1468|483|210|75|35|,0|0|0|0|0|0|,0|0|0|0|0|0|,5871|1377|446|197|68|31|,2936|70|23|14|0|29|,0|0|0|0|0|0|
111,0|1|2|3|4|5|,2935|1307|423|183|68|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2935|1307|423|183|68|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2935|1307|423|183|70|,0|0|0|0|0|0|,16570|2890|1290|414|181|69|,0|0|0|0|0|0|,6784|1199|539|162|74|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6784|1199|539|162|74|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6188|1083|489|147|65|23|,3112|64|21|11|4|19|,0|0|0|0|0|0|
112,0|1|2|3|4|5|,3076|1019|468|136|61|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3076|1019|468|136|61|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3076|1019|468|136|65|,0|0|0|0|0|0|,14700|3031|1005|462|136|65|,0|0|0|0|0|0|,6356|1384|465|192|57|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6356|1384|465|192|57|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5977|1313|444|183|54|29|,2991|71|25|10|2|23|,0|0|0|0|0|0|
113,0|1|2|3|4|5|,2986|1242|419|173|52|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2986|1242|419|173|52|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2986|1242|419|173|58|,0|0|0|0|0|0|,15950|2957|1221|417|171|57|,0|0|0|0|0|0|,6696|1298|531|181|67|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6696|1298|531|181|67|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,6108|1170|475|160|63|19|,3037|50|32|6|3|17|,0|0|0|0|0|0|
114,0|1|2|3|4|5|,3071|1120|443|154|60|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3071|1120|443|154|60|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3071|1120|443|154|62|,0|0|0|0|0|0|,14800|3026|1098|440|152|62|,0|0|0|0|0|0|,6710|1314|499|197|70|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6710|1314|499|197|70|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6082|1192|448|182|63|23|,2947|62|31|13|2|20|,0|0|0|0|0|0|
115,0|1|2|3|4|5|,3135|1130|417|169|61|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3135|1130|417|169|61|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3135|1130|417|169|64|,0|0|0|0|0|0|,14050|3095|1112|414|167|64|,0|0|0|0|0|0|,6489|1438|501|203|84|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6489|1438|501|203|84|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,5954|1286|457|189|77|28|,3006|77|30|13|4|25|,0|0|0|0|0|0|
