Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
31,0|1|2|3|4|5|,2952|1041|383|140|49|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2952|1041|383|140|49|0|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2952|1041|383|140|49|,0|0|0|0|0|0|,13410|2464|885|323|111|42|,0|0|0|0|0|0|,6803|1277|462|152|55|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,6803|1277|462|152|55|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,5876|1092|393|130|48|15|,2908|56|18|8|0|12|,0|0|0|0|0|0|
32,0|1|2|3|4|5|,2968|1036|375|122|48|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2968|1036|375|122|48|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2968|1036|375|122|51|,0|0|0|0|0|0|,13610|2471|877|303|108|42|,0|0|0|0|0|0|,6948|1244|446|161|57|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,6948|1244|446|161|57|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,5986|1077|402|137|49|16|,3010|54|20|7|2|14|,0|0|0|0|0|0|
33,0|1|2|3|4|5|,2976|1023|382|130|47|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2976|1023|382|130|47|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2976|1023|382|130|49|,0|0|0|0|0|0|,12760|2496|859|342|106|45|,0|0|0|0|0|0|,6498|1328|448|183|47|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6498|1328|448|183|47|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,5778|1179|394|159|41|21|,2871|53|24|10|1|20|,0|0|0|0|0|0|
34,0|1|2|3|4|5|,2907|1126|370|149|40|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2907|1126|370|149|40|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2907|1126|370|149|41|,0|0|0|0|0|0|,14150|2466|965|314|123|31|,0|0|0|0|0|0|,6943|1216|458|153|56|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,6943|1216|458|153|56|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5979|1050|404|137|48|14|,2990|51|20|7|3|12|,0|0|0|0|0|0|
35,0|1|2|3|4|5|,2989|999|384|130|45|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2989|999|384|130|45|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2989|999|384|130|47|,0|0|0|0|0|0|,13280|2592|855|335|111|41|,0|0|0|0|0|0|,6993|1315|427|169|60|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6993|1315|427|169|60|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5926|1102|366|139|56|25|,2934|40|21|2|4|23|,0|0|0|0|0|0|
36,0|1|2|3|4|5|,2992|1062|345|137|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2992|1062|345|137|52|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2992|1062|345|137|54|,0|0|0|0|0|0|,14200|2499|909|298|120|51|,0|0|0|0|0|0|,6838|1185|426|147|59|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6838|1185|426|147|59|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6024|1042|377|131|52|23|,2988|33|13|5|3|19|,0|0|0|0|0|0|
37,0|1|2|3|4|5|,3036|1009|364|126|49|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,3036|1009|364|126|49|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|3036|1009|364|126|53|,0|0|0|0|0|0|,12830|2589|862|322|109|48|,0|0|0|0|0|0|,6606|1346|447|168|52|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,6606|1346|447|168|52|25|,0|0|0|0|0|0|,0|0|0|0|0|0|,5813|1202|391|144|49|22|,2927|50|24|9|1|19|,0|0|0|0|0|0|
38,0|1|2|3|4|5|,2886|1152|367|135|48|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2886|1152|367|135|48|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2886|1152|367|135|51|,0|0|0|0|0|0|,14600|2484|991|325|121|45|,0|0|0|0|0|0|,6555|1139|460|152|49|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,6555|1139|460|152|49|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,5955|1040|411|141|44|19|,2976|42|23|5|6|15|,0|0|0|0|0|0|
39,0|1|2|3|4|5|,2979|998|388|136|38|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2979|998|388|136|38|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2979|998|388|136|42|,0|0|0|0|0|0|,13270|2545|863|334|123|36|,0|0|0|0|0|0|,6789|1268|443|167|55|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,6789|1268|443|167|55|18|,0|0|0|0|0|0|,0|0|0|0|0|0|,5944|1110|374|148|45|14|,2956|46|24|13|2|11|,0|0|0|0|0|0|
40,0|1|2|3|4|5|,2988|1064|350|135|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2988|1064|350|135|43|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2988|1064|350|135|46|,0|0|0|0|0|0|,13520|2608|912|296|116|40|,0|0|0|0|0|0|,6619|1241|423|150|53|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,6619|1241|423|150|53|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,5945|1114|376|129|45|20|,3030|57|25|9|4|17|,0|0|0|0|0|0|
