Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
84,0|1|2|3|4|5|,2747|982|380|117|47|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2747|982|380|117|47|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2747|982|380|117|50|,0|0|0|0|0|0|,13060|2384|860|344|99|48|,0|0|0|0|0|0|,5904|1060|400|165|35|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,5904|1060|400|165|35|21|,0|0|0|0|0|0|,0|0|0|0|0|0|,5426|975|370|153|33|20|,2667|39|22|11|1|18|,0|0|0|0|0|0|
85,0|1|2|3|4|5|,2759|936|348|142|32|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2759|936|348|142|32|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2759|936|348|142|34|,0|0|0|0|0|0|,11910|2441|827|296|125|30|,0|0|0|0|0|0|,5737|1215|424|153|54|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5737|1215|424|153|54|16|,0|0|0|0|0|0|,0|0|0|0|0|0|,5287|1119|389|139|48|14|,2665|53|19|6|2|13|,0|0|0|0|0|0|
86,0|1|2|3|4|5|,2622|1066|370|133|46|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2622|1066|370|133|46|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2622|1066|370|133|47|,0|0|0|0|0|0|,13420|2276|936|327|114|43|,0|0|0|0|0|0|,5953|1034|404|154|51|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,5953|1034|404|154|51|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,5472|948|376|140|45|19|,2721|48|19|9|1|16|,0|0|0|0|0|0|
87,0|1|2|3|4|5|,2751|900|357|131|44|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2751|900|357|131|44|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2751|900|357|131|47|,0|0|0|0|0|0|,11950|2420|796|323|118|42|,0|0|0|0|0|0|,5856|1191|377|146|58|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,5856|1191|377|146|58|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,5354|1092|349|132|53|20|,2694|65|27|7|1|19|,0|0|0|0|0|0|
88,0|1|2|3|4|5|,2660|1027|322|125|52|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2660|1027|322|125|52|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2660|1027|322|125|53|,0|0|0|0|0|0|,12730|2351|898|290|109|46|,0|0|0|0|0|0|,5754|1155|399|144|52|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5754|1155|399|144|52|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5357|1072|374|133|46|18|,2672|47|18|12|0|17|,0|0|0|0|0|0|
89,0|1|2|3|4|5|,2685|1025|356|121|46|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2685|1025|356|121|46|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2685|1025|356|121|47|,0|0|0|0|0|0|,14040|2362|937|312|110|44|,0|0|0|0|0|0|,6065|1037|385|146|57|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,6065|1037|385|146|57|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,5516|950|341|130|49|14|,2795|41|15|7|1|13|,0|0|0|0|0|0|
90,0|1|2|3|4|5|,2721|909|326|123|48|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2721|909|326|123|48|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2721|909|326|123|49|,0|0|0|0|0|0|,12290|2411|805|302|112|43|,0|0|0|0|0|0|,5923|1221|390|141|50|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5923|1221|390|141|50|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5346|1094|353|127|45|22|,2729|54|16|7|5|21|,0|0|0|0|0|0|
91,0|1|2|3|4|5|,2617|1040|337|120|40|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2617|1040|337|120|40|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2617|1040|337|120|41|,0|0|0|0|0|0|,13990|2316|935|302|106|34|,0|0|0|0|0|0|,6278|1085|422|136|53|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,6278|1085|422|136|53|10|,0|0|0|0|0|0|,0|0|0|0|0|0|,5530|943|362|112|45|8|,2824|40|20|8|0|6|,0|0|0|0|0|0|
92,0|1|2|3|4|5|,2706|903|342|104|45|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2706|903|342|104|45|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2706|903|342|104|47|,0|0|0|0|0|0|,11510|2421|816|299|95|42|,0|0|0|0|0|0|,5636|1247|411|163|48|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,5636|1247|411|163|48|24|,0|0|0|0|0|0|,0|0|0|0|0|0|,5242|1152|380|150|47|23|,2663|49|21|8|3|22|,0|0|0|0|0|0|
93,0|1|2|3|4|5|,2579|1103|359|142|44|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2579|1103|359|142|44|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2579|1103|359|142|45|,0|0|0|0|0|0|,13170|2330|996|320|135|37|,0|0|0|0|0|0|,6004|1071|456|135|73|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,6004|1071|456|135|73|15|,0|0|0|0|0|0|,0|0|0|0|0|0|,5422|968|407|124|66|13|,2710|48|25|7|4|13|,0|0|0|0|0|0|
