Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
91,0|1|2|3|4|5|,2865|1081|432|149|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2865|1081|432|149|63|1|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2865|1081|432|149|64|,0|0|0|0|0|0|,14620|2755|1033|419|142|64|,0|0|0|0|0|0|,6544|1280|435|185|64|38|,0|0|0|0|0|0|,0|0|0|0|0|0|,6544|1280|435|185|64|38|,0|0|0|0|0|0|,0|0|0|0|0|0|,5785|1117|390|163|54|34|,2850|75|17|5|3|29|,0|0|0|0|0|0|
92,0|1|2|3|4|5|,2935|1042|373|158|51|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2935|1042|373|158|51|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2935|1042|373|158|56|,0|0|0|0|0|0|,13400|2830|992|359|155|54|,0|0|0|0|0|0|,6405|1365|456|170|73|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,6405|1365|456|170|73|27|,0|0|0|0|0|0|,0|0|0|0|0|0|,5655|1208|399|148|63|22|,2863|47|22|3|5|20|,0|0|0|0|0|0|
93,0|1|2|3|4|5|,2792|1161|377|145|58|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2792|1161|377|145|58|2|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2792|1161|377|145|60|,0|0|0|0|0|0|,14280|2694|1131|358|141|58|,0|0|0|0|0|0|,6533|1271|516|158|57|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,6533|1271|516|158|57|28|,0|0|0|0|0|0|,0|0|0|0|0|0|,5754|1094|460|138|49|26|,2927|39|22|6|3|23|,0|0|0|0|0|0|
94,0|1|2|3|4|5|,2827|1055|438|132|46|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2827|1055|438|132|46|3|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2827|1055|438|132|49|,0|0|0|0|0|0|,13430|2740|1020|434|129|48|,0|0|0|0|0|0|,6560|1350|476|203|59|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,6560|1350|476|203|59|22|,0|0|0|0|0|0|,0|0|0|0|0|0|,5626|1176|404|181|55|17|,2827|67|21|11|4|13|,0|0|0|0|0|0|
95,0|1|2|3|4|5|,2799|1109|383|170|51|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2799|1109|383|170|51|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2799|1109|383|170|55|,0|0|0|0|0|0|,13820|2692|1066|374|164|55|,0|0|0|0|0|0|,6453|1321|526|166|72|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,6453|1321|526|166|72|29|,0|0|0|0|0|0|,0|0|0|0|0|0|,5708|1163|453|148|65|25|,2820|64|16|12|5|21|,0|0|0|0|0|0|
96,0|1|2|3|4|5|,2888|1099|437|136|60|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2888|1099|437|136|60|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2888|1099|437|136|64|,0|0|0|0|0|0|,14590|2792|1066|423|130|63|,0|0|0|0|0|0|,6451|1251|482|195|60|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6451|1251|482|195|60|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5745|1119|435|172|55|26|,2867|61|24|10|4|20|,0|0|0|0|0|0|
97,0|1|2|3|4|5|,2878|1058|411|162|51|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2878|1058|411|162|51|6|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2878|1058|411|162|57|,0|0|0|0|0|0|,14120|2800|1035|396|157|56|,0|0|0|0|0|0|,6790|1325|497|184|77|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,6790|1325|497|184|77|32|,0|0|0|0|0|0|,0|0|0|0|0|0|,5768|1119|419|153|68|23|,2867|44|23|8|6|19|,0|0|0|0|0|0|
98,0|1|2|3|4|5|,2901|1075|396|145|62|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2901|1075|396|145|62|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2901|1075|396|145|66|,0|0|0|0|0|0|,13660|2818|1049|383|141|65|,0|0|0|0|0|0|,6572|1326|507|186|73|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,6572|1326|507|186|73|23|,0|0|0|0|0|0|,0|0|0|0|0|0|,5731|1124|420|165|67|21|,2904|57|21|11|1|16|,0|0|0|0|0|0|
99,0|1|2|3|4|5|,2827|1067|399|154|66|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2827|1067|399|154|66|5|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2827|1067|399|154|71|,0|0|0|0|0|0|,14150|2749|1047|389|152|69|,0|0|0|0|0|0|,6575|1269|494|182|64|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,6575|1269|494|182|64|33|,0|0|0|0|0|0|,0|0|0|0|0|0|,5779|1094|429|160|61|30|,2943|54|14|11|2|26|,0|0|0|0|0|0|
100,0|1|2|3|4|5|,2836|1040|415|149|59|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0.0|0.0|0.0|0.0|0.0|0.0|,2836|1040|415|149|59|4|,nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|,0|2836|1040|415|149|63|,0|0|0|0|0|0|,13800|2761|1007|403|143|63|,0|0|0|0|0|0|,6528|1283|462|203|78|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,6528|1283|462|203|78|31|,0|0|0|0|0|0|,0|0|0|0|0|0|,5752|1109|416|179|66|28|,2860|47|13|6|6|28|,0|0|0|0|0|0|
